Day,Cal.,Vita,Content,,,,,,,
20140908,1500,,900; Chicken Wings,200; Vegetable Juice,100; Sunflower Seeds,200; Latte,100; Pita Chips,,,
20140909,1685,,635; Egg Avocado Bagel,150; Vegetable Juice,500; half a burger and fries,200; Latte,100; Pita Chips,,,
20140910,1391,,311; Pepperoni Pizza,280; Vegetable Juice,50; Seaweed,100; Latte,230; Yogurt,370; Fruit and Nut bars,,
20140911,1500,,635; Egg Avocado Bagel,615; Steak Quesadilla,50; Seaweed,200; Latte,,,,
20140912,1395,,635; Egg Avocado Bagel,550; IHOP Quesadilla,100; Seaweed,100; Latte,,,,
20140913,1541,,311; Pepperoni Pizza,140; Vegetable Juice,750; Cheeseburger,190; Cranberry Juice,150; Cookie,,,
20140914,1705,,630; Breakfast Burrito,240; Vegetable Juice,635; Egg Avocado Bagel,200; Latte,,,,
20140915,1575,,605; Chicken Quesadilla,70; Vegetable Juice,900; Pizza,,,,,
20140916,1530,,350; Walnut Scone,140; Vegetable Juice,400; Bacon Scone,110; Seaweed,200; Latte,230; Yogurt,,
20140917,1442,,340; Wasabi Cashews,340; Vegetable Juice,622; Pepperoni Pizza,60; Seaweed,70; Yogurt,,,
20140918,1495,,635; Egg Avocado Bagel,85; Wasabi Cashews,615; Steak Quesadilla,60; Seaweed,100; Latte,,,
20140919,1576,,635; Egg Avocado Bagel,311; Pepperoni Pizza,200; Banana Bread,230; Yogurt,200; Latte,,,
20140920,1335,,635; Egg Avocado Bagel,600; Fancy Dinner,50; Vegetable Juice,50; Seaweed,,,,
20140921,1645,,630; Breakfast Burrito,615; Steak Quesadilla,240; Vegetable Juice,160; Banana Chips,,,,
20140922,1791,,311; Pepperoni Pizza,200; Banana Bread,280; Vegetable Juice,1000; Chicken Wings,,,,
20140923,1495,,635; Egg Avocado Bagel,200; Latte,140; Vegetable juice,460; Yogurt,60; Seaweed,,,
20140924,1526,,311; Pepperoni Pizza,615; Steak Quesadilla,100; Vegetable Juice,230; Yogurt,110; Seaweed,160; Banana Chips,,
20140925,1504,,635; Egg Avocado Bagel,200; Banana Bread,35; Seaweed,434; Nuts,140; Sun Chips,,,
20140926,1740,,635; Egg Avocado Bagel,630; Breakfast Burrito,240; Vegetable Juice,60; Nuts,140; Sun Chips,,,
20140927,1890,,580; Nuts,200; Latte,200; Banana bread,910; Sushi,,,,
20140928,1535,,300; Nuts,200; Latte,615; Steak Quesadilla,280; Vegetable Juice,140; Sun Chips,,,
20140929,1501,,480; Nuts,200; Latte,311; Pepperoni Pizza,140; Vegetable Juice,140; Sun Chips,230; Yogurt,,
20140930,1820,,635; Egg Avocado Bagel,100; Latte,805; Steak Quesadilla,280; Vegetable Juice,,,,
20141001,1841,,600; Nuts,311; Pepperoni Pizza,200; Pumpkin Bread,140; Vegetable Juice,200; Sun Chips,160; Orange Juice,230; Yogurt,
20141002,1590,,950; Cheese burger,400; Pancakes,100; Latte,140; Vegetable Juice,,,,
20141003,1495,,635; Egg Avocado Bagel,200; Banana Bread,200; Latte,260; Vegetable Juice,200; Nuts,,,
20141004,1810,,200; Sun Chips,630; Breakfast Burrito,500; Chicken Wings,240; Vegetable Juice,240; Nuts,,,
20141005,1465,,100; Sun Chips,40; Seaweed,635; Egg Avocado Bagel,70; Vegetable Juice,160; Nuts,150; Cookie,230; Yogurt,80; Orange Juice
20141006,1426,,311; Pepperoni Pizza,35; Seaweed,200; Latte,310; Vegetable Juice,605; Breakfast Burrito,,,
20141007,1494,,635; Egg Avocado Bagel,615; Steak Quesadilla,200; Latte,44; Orange Juice,,,,
20141008,1465,,635; Egg Avocado Bagel,160; Nuts,100; Latte,80; Seaweed,230; Yogurt,260; Vegetable Juice,,
20141009,1825,,615; Steak Quesadilla,680; Nuts,220; Orange Juice,40; Seaweed,230; Yogurt,,,
20141010,1571,,311; Pepperoni Pizza,240; Nuts,280; Vegetable Juice,130; Pita Chips,260; Yogurt,200; Latte,150; Pretzel,
20141011,1650,,615; Steak Quesadilla,320; Nuts,100; Vegetable Juice,260; Pita Chips,110; Orange Juice,190; Vegan Health Cookie ,60; Seaweed,
20141012,1221,,425; Wasabi Cashews,61; Nuts,635; Egg Avocado Bagel,65; Pita Chips,,,,
20141013,1739,,60; Seaweed,408; Nuts,200; Latte,280; Vegetable Juice,311; Pepperoni Pizza,150; Pretzel,230; Yogurt,
20141014,1685,,635; Egg Avocado Bagel,950; Cheeseburger,100; Latte,,,,,
20141015,1451,,320; Nuts,140; Vegetable Juice,100; Latte,311; Pepperoni Pizza,150; Pretzel,60; Seaweed,260; Yogurt,
20141016,1455,,160; Nuts,110; Orange Juice,200; Latte,200; Cookie,615; Steak Quesadilla,60; Seaweed,,
20141017,1280,,180; Nuts,900; Chicken Wings,200; Latte,,,,,
20141018,1120,,180; Nuts,240; Vegetable Juice,700; Nutella Banana Crepe,,,,,
20141019,1415,,160; Nuts,240; Vegetable Juice,200; Latte,605; Breakfast Burrito,150; Pretzel,60; Seaweed,,
20141020,2485,,880; Nuts,50; Vegetable Juice,400; Latte,635; Egg Avocado Bagel,260; Pita Chips,280; Cookie,,
20141021,1395,,320; Nuts,280; Vegetable Juice,30; Seaweed,615; Steak Quesadilla,150; Pretzel,,,
20141022,1615,,480; Nuts,240; Vegetable Juice,30; Seaweed,605; Breakfast Burrito,260; Yogurt,,,
20141023,1851,,320; Nuts,86; Vegetable Juice,150; Latte,635; Egg Avocado Bagel,160; Tomato Almond Snack,200; Cookie,300; Pizza,
20141024,812,,320; Nuts,172; Vegetable Juice,170; Cashew Crumbles,150; Pretzel,,,,